"module name","licenses","repository","licenseUrl","parents"
"crypto-random-string@1.0.0","MIT","https://github.com/sindresorhus/crypto-random-string","https://github.com/sindresorhus/crypto-random-string/raw/master/license","zoonavigator-web"
"css-color-names@0.0.4","MIT","https://github.com/bahamas10/css-color-names","https://github.com/bahamas10/css-color-names","zoonavigator-web"
"css-loader@0.26.4","MIT","https://github.com/webpack/css-loader","https://github.com/webpack/css-loader/raw/master/LICENSE","zoonavigator-web"
"css-parse@1.7.0","MIT","https://github.com/visionmedia/css-parse","https://github.com/visionmedia/css-parse","zoonavigator-web"
"css-select@1.2.0","BSD-like","https://github.com/fb55/css-select","https://github.com/fb55/css-select/raw/master/LICENSE","zoonavigator-web"
"css-selector-tokenizer@0.6.0","MIT","https://github.com/css-modules/css-selector-tokenizer","https://github.com/css-modules/css-selector-tokenizer","postcss-modules-local-by-default:zoonavigator-web"
"css-selector-tokenizer@0.7.0","MIT","https://github.com/css-modules/css-selector-tokenizer","https://github.com/css-modules/css-selector-tokenizer","zoonavigator-web"
"css-what@2.1.0","BSD-like","https://github.com/fb55/css-what","https://github.com/fb55/css-what/raw/master/LICENSE","zoonavigator-web"
"cssauron@1.4.0","MIT","https://github.com/chrisdickinson/cssauron","https://github.com/chrisdickinson/cssauron","zoonavigator-web"
"cssesc@0.1.0","MIT","https://github.com/mathiasbynens/cssesc","http://mths.be/mit","zoonavigator-web"
"cssnano@3.10.0","MIT","https://github.com/ben-eb/cssnano","https://github.com/ben-eb/cssnano/raw/master/LICENSE-MIT","zoonavigator-web"
"csso@2.3.2","MIT","https://github.com/css/csso","https://github.com/css/csso/raw/master/LICENSE","zoonavigator-web"
